행정구,평균실거래가
강남구,1274
강동구,735
강북구,484
강서구,627
관악구,624
광진구,770
구로구,547
금천구,634
노원구,512
도봉구,457
동대문구,818
동작구,786
마포구,931
서대문구,569
서초구,1295
성동구,879
성북구,641
송파구,913
양천구,594
영등포구,945
용산구,1393
은평구,583
종로구,621
중구,735
중랑구,586
